#SampleID	SRR900226	SRR901080	SRR901090	SRR901100	SRR901110	SRR901120	SRR901130	SRR901140	SRR901081	SRR901091	SRR901101	SRR901111	SRR901121	SRR901131	SRR901141	SRR901032	SRR901082	SRR901092	SRR901102	SRR901112	SRR901122	SRR901132	SRR901142	SRR901083	SRR901093	SRR901103	SRR901113	SRR901123	SRR901133	SRR901143	SRR901084	SRR901094	SRR901104	SRR901114	SRR901124	SRR901134	SRR901144	SRR901085	SRR901095	SRR901105	SRR901115	SRR901125	SRR901135	SRR901086	SRR901096	SRR901106	SRR901116	SRR901126	SRR901136	SRR901087	SRR901097	SRR901107	SRR901117	SRR901127	SRR901137	SRR901088	SRR901098	SRR901108	SRR901118	SRR901128	SRR901138	SRR901079	SRR901089	SRR901099	SRR901109	SRR901119	SRR901129	SRR901139
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
sk__Bacteria;k__;p__Acidobacteria;c__Holophagae;o__Holophagales;f__Holophagaceae	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria	75	4	314	1	93	79	1	2	284	353	0	0	68	0	1	2	122	4950	0	218	92	0	0	48	1	0	12	104	0	0	40	0	870	1	21	1	0	7	97	435	0	50	0	130	0	1	214	92	1	157	0	0	1	66	7	135	1	253	0	0	0	288	173	4	1	28	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia	747	27	338	0	808	98	1	195	600	785	146	0	215	0	1247	565	442	38377	1705	671	79	0	5	114	987	338	2119	38	0	3048	76	4	1636	2937	60	154	4	239	727	2052	1	31	0	235	2	20	2601	103	0	175	3198	41	164	143	2228	550	2148	245	18	0	463	997	333	893	491	71	2	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales	4	0	4	0	0	1	0	0	0	5	0	0	0	0	0	0	4	46	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	11	0	0	0	2	0	0	0	0	0	4	0	0	0	1	0	3	1	0	0	0	0	0	1	0	0	1	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae	1	0	12	0	0	4	0	0	0	18	0	0	0	0	0	1	2	74	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	4	1	0	0	0	0	7	0	0	0	2	0	8	0	0	0	0	0	0	5	0	0	3	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Ferrithrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
sk__Bacteria;k__;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae	0	1	2	0	0	1	5	0	0	7	0	0	2	0	0	0	0	76	1	0	1	0	2	0	1	5	0	0	1	3	0	0	1	1	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	13	6	10	0	0	1	0	5	0	0	0	0	0	0
